1988	210万	48	48	2	812	1193
1989	175万	33	33	2	813	983
1990	193万	50	50	0	813	1174
1991	177万	48	48	0	813	1142
1992	227万	60	60	2	813	1293
1993	212万	60	60	2	813	1138
1994	229万	62	62	0	813	1198
1995	206万	60	60	2	813	1140
1996	219万	55	55	0	813	1189
1997	212万	67	67	0	814	1155
1998	209万	52	52	2	814	1059
1999	214万	59	59	3	814	1185
2000	204万	58	58	0	814	1130
2001	224万	58	58	1	814	1264
2002	229万	64	64	1	814	1203
2003	203万	64	64	0	814	1244
2004	229万	49	49	2	814	1131
2005	212万	61	61	1	814	1195
2006	197万	58	58	2	814	1134
2007	216万	47	47	1	814	1171
2008	214万	55	55	0	815	1163
2009	213万	59	59	2	815	1106
2010	220万	66	67	1	815	1121
2011	201万	54	54	1	815	1122
2012	209万	35	35	3	815	1096
2013	203万	65	65	0	815	1258
2014	223万	58	58	1	815	1173
2015	214万	57	57	0	815	1219
2016	235万	40	40	4	815	1088
2017	210万	70	70	0	815	1267
2018	194万	62	62	1	815	1191
2019	217万	62	62	0	815	1302
2020	227万	53	53	2	815	1194
2021	260万	67	67	0	815	1240
2022	178万	46	46	3	815	1084
2023	219万	43	43	1	815	1128
2024	190万	58	58	1	815	1227
2025	215万	63	63	0	816	1201
2026	217万	55	55	1	816	1179
2027	231万	60	60	1	816	1158
2028	222万	61	61	1	816	1267
2029	226万	45	45	1	816	1155
2030	186万	59	59	1	816	1158
2031	214万	39	42	3	816	1039
2032	174万	76	76	1	816	1264
2033	203万	63	63	0	816	1261
2034	251万	59	59	0	817	1281
2035	232万	57	57	1	817	1252
2036	195万	52	52	0	817	1202
2037	204万	51	51	2	817	1213
2038	216万	49	49	1	817	1190
2039	195万	53	53	0	817	1188
2040	212万	58	58	1	817	1207
2041	219万	46	46	1	817	1163
2042	242万	55	55	1	817	1204
2043	223万	47	47	0	817	1197
2044	229万	66	66	1	817	1196
2045	196万	63	63	0	817	1240
2046	226万	53	53	0	818	1088
2047	209万	66	66	0	818	1275
2048	248万	56	56	0	818	1212
2049	220万	53	53	1	818	1202
2050	231万	62	62	0	818	1142
2051	217万	59	59	0	818	1201
2052	221万	61	61	0	818	1187
2053	216万	59	59	0	818	1256
2054	219万	65	65	0	818	1196
2055	214万	70	70	0	818	1224
2056	251万	55	55	1	818	1215
2057	221万	59	59	0	818	1176
2058	230万	63	63	0	818	1291
2059	206万	33	33	1	818	1044
2060	211万	58	58	1	818	1159
2061	212万	58	58	1	819	1206
2062	224万	64	64	1	819	1244
2063	251万	63	63	0	819	1282
2064	221万	59	59	1	819	1149
2065	264万	68	68	0	819	1232
2066	202万	56	56	1	819	1154
2067	210万	55	55	2	819	1139
2068	226万	63	63	0	819	1224
2069	242万	55	55	0	819	1249
2070	239万	41	41	1	819	1138
2071	188万	56	56	3	819	1144
2072	255万	63	63	1	819	1219
2073	259万	59	59	1	820	1111
2074	218万	56	56	1	820	1083
2075	242万	53	53	0	820	1146
2076	219万	49	49	1	820	1098
2077	224万	59	59	1	820	1247
2078	211万	43	43	3	820	1189
2079	237万	66	66	0	820	1209
2080	225万	58	58	0	820	1163
2081	225万	66	66	0	820	1250
2082	236万	59	59	0	821	1207
2083	249万	54	54	0	821	1212
2084	219万	56	56	0	821	1186
2085	241万	56	56	0	821	1099
2086	230万	43	43	2	821	1143
2087	246万	59	59	0	822	1240
2088	230万	56	56	1	822	1238
2089	213万	43	43	1	822	1173
2090	229万	62	62	0	822	1237
2091	249万	63	63	2	822	1253
2092	254万	59	59	1	822	1288
2093	284万	63	63	1	822	1350
2094	256万	67	67	1	822	1233
2095	207万	67	67	0	823	1248
2096	250万	52	52	1	823	1179
2097	286万	64	64	0	823	1240
2098	230万	56	56	0	823	1200
2099	211万	52	52	0	824	1186
2100	268万	61	61	0	824	1257
2101	245万	73	73	0	824	1300
2102	238万	41	41	0	824	1122
2103	265万	76	76	1	824	1306
2104	242万	42	42	0	824	1099
2105	297万	54	54	1	825	1226
2106	260万	66	66	0	825	1250
2107	206万	45	45	0	825	1111
2108	244万	64	64	1	825	1198
2109	243万	45	45	2	825	1162
2110	296万	55	55	1	825	1228
2111	230万	48	48	0	825	1178
2112	266万	48	48	0	825	1251
2113	228万	71	71	0	825	1257
2114	235万	32	32	31	825	1016
2115	277万	63	63	0	826	1270
2116	234万	59	59	1	826	1225
2117	222万	53	53	4	826	1097
2118	245万	62	62	2	826	1223
2119	214万	43	43	1	826	1080
2120	264万	60	60	0	826	1234
2121	264万	68	68	0	826	1260
2122	270万	54	54	0	827	1272
2123	265万	52	52	0	827	1185
2124	229万	51	51	2	827	1155
2125	241万	56	56	1	827	1207
2126	239万	47	47	2	827	1140
2127	234万	73	73	0	827	1251
2128	263万	54	54	1	827	1210
2129	255万	34	34	0	827	1119
2130	266万	64	64	1	827	1228
2131	243万	51	51	0	827	1180
2132	281万	67	67	0	827	1224
2133	277万	64	64	0	827	1321
2134	270万	54	54	0	828	1179
2135	278万	60	60	1	828	1102
2136	263万	47	47	1	828	1200
2137	253万	66	66	0	829	1282
2138	266万	55	55	0	829	1181
2139	282万	65	65	1	829	1254
2140	307万	59	59	0	829	1274
2141	326万	60	60	1	829	1210
2142	307万	66	66	3	829	1250
2143	296万	49	49	0	829	1240
2144	249万	46	46	0	829	1206
2145	277万	54	54	1	829	1179
2146	286万	60	60	0	829	1242
2147	265万	71	71	0	829	1261
2148	277万	66	66	0	829	1262
2149	277万	60	60	0	829	1262
2150	302万	64	64	1	830	1272
2151	310万	71	71	0	830	1288
2152	242万	63	63	1	830	1225
2153	290万	62	62	1	830	1318
2154	260万	51	51	0	830	1244
2155	252万	55	55	2	830	1254
2156	248万	64	64	0	830	1297
2157	257万	60	60	1	830	1193
2158	267万	56	56	0	830	1233
2159	259万	66	66	0	830	1296
2160	269万	56	56	1	830	1204
2161	291万	58	58	0	831	1277
2162	278万	55	55	0	831	1242
2163	239万	65	65	0	831	1290
2164	280万	59	59	0	831	1220
2165	262万	57	57	1	831	1180
2166	328万	64	64	0	831	1250
2167	307万	67	67	0	831	1289
2168	246万	40	40	1	832	1184
2169	285万	59	59	1	832	1221
2170	322万	62	62	2	832	1181
2171	285万	68	68	1	832	1282
2172	295万	64	64	0	832	1293
2173	273万	50	50	1	832	1206
2174	235万	56	56	0	833	1139
2175	278万	48	48	0	833	1265
2176	267万	72	72	0	833	1299
2177	290万	63	63	0	833	1238
2178	265万	39	39	1	833	1110
2179	261万	58	58	0	833	1221
2180	314万	47	47	0	833	1223
2181	290万	69	69	0	833	1291
2182	298万	62	62	0	834	1264
2183	322万	67	67	0	834	1357
2184	258万	66	66	0	834	1212
2185	290万	57	57	0	834	1226
2186	286万	48	48	4	834	1187
2187	268万	62	62	0	834	1190
2188	285万	68	68	0	834	1314
2189	298万	65	65	4	834	1265
2190	272万	49	50	2	834	1184
2191	248万	38	38	0	834	1071
2192	318万	56	56	0	835	1186
2193	284万	61	61	1	835	1227
2194	271万	48	48	1	835	1191
2195	295万	66	66	0	835	1318
2196	286万	69	69	1	835	1228
2197	320万	73	73	0	835	1339
2198	257万	38	38	0	835	1128
2199	327万	54	54	0	835	1272
2200	315万	52	52	0	835	1240
2201	286万	67	67	1	835	1214
2202	277万	56	56	0	835	1275
2203	334万	62	62	0	835	1261
2204	268万	49	49	1	835	1231
2205	228万	28	28	1	836	1034
2206	274万	52	52	0	836	1193
2207	286万	37	37	2	836	1054
2208	284万	52	52	0	837	1231
2209	217万	23	23	6	837	966
2210	295万	55	55	0	837	1202
2211	331万	60	60	1	837	1258
2212	296万	53	53	0	837	1199
2213	329万	66	66	0	837	1287
2214	319万	49	49	0	837	1195
2215	312万	60	60	1	838	1314
2216	289万	53	53	0	838	1247
2217	340万	64	64	0	838	1261
2218	320万	50	50	2	838	1144
2219	344万	50	50	3	838	1224
2220	331万	58	58	0	839	1217
2221	373万	64	64	1	839	1276
2222	282万	53	53	0	839	1181
2223	305万	64	64	0	839	1262
2224	338万	63	63	0	839	1263
2225	334万	62	62	0	840	1181
2226	284万	57	57	0	840	1272
2227	345万	55	55	0	840	1288
2228	294万	62	62	1	840	1307
2229	295万	63	63	0	840	1285
2230	335万	61	61	2	840	1267
2231	287万	39	39	0	840	1160
2232	342万	58	58	1	840	1279
2233	305万	69	69	0	840	1251
2234	340万	61	61	0	841	1182
2235	322万	54	54	2	841	1113
2236	336万	56	56	0	841	1219
2237	279万	58	58	3	841	1220
2238	291万	44	44	0	841	1150
2239	300万	46	46	1	841	1206
2240	307万	53	53	1	841	1204
2241	320万	47	47	1	841	1159
2242	327万	61	61	1	841	1259
2243	314万	57	57	0	841	1271
2244	292万	66	67	1	841	1243
2245	342万	71	71	0	841	1274
2246	300万	51	51	0	841	1253
2247	354万	55	55	1	841	1349
2248	254万	43	43	0	842	1150
2249	286万	58	58	1	842	1171
2250	341万	67	67	0	842	1299
2251	329万	60	60	0	842	1299
2252	277万	52	52	1	842	1166
2253	273万	54	54	1	842	1249
2254	322万	67	67	1	843	1287
2255	297万	54	54	1	843	1064
2256	296万	44	44	2	843	1167
2257	326万	62	62	1	843	1280
2258	386万	70	70	0	843	1299
2259	286万	55	55	0	843	1254
2260	306万	54	54	1	843	1223
2261	293万	66	66	1	843	1266
2262	318万	60	60	0	843	1230
2263	279万	54	54	0	843	1209
2264	258万	48	48	0	844	1216
2265	273万	56	56	0	844	1199
2266	303万	54	54	1	844	1185
2267	343万	61	61	0	844	1288
2268	305万	63	63	1	844	1250
2269	317万	70	70	0	844	1309
2270	333万	51	51	0	844	1248
